#{"t_start": 1776408462.23993, "env_id": "None"}
r,l,t
1124.1273,114,354.307329
1339.1758,159,354.591074
481.25272,63,354.652123
1600.4751,164,354.783362
1345.5819,142,354.93337
1500.1144,153,355.026691
1185.2373,118,355.936039
523.6906,68,355.936039
1080.4642,130,355.97416
1097.8579,110,356.444894
1473.3586,151,356.834122
522.61566,68,357.612273
1326.7562,156,358.046777
1305.3639,138,358.046777
1585.3367,162,358.46132
2248.625,500,358.56311
1466.774,153,358.56311
1120.0981,111,358.704583
1068.8011,131,359.272613
507.53925,66,359.294203
1127.897,114,359.398479
2762.463,500,360.052334
1441.7225,149,360.713797
500.28036,66,361.039595
1316.8121,137,361.639242
1156.0837,115,361.75303
1297.2604,154,362.099309
1086.4205,108,362.292892
1458.634,152,362.60104
1569.5183,160,362.710912
488.74188,64,362.802212
1104.0819,134,362.8812
2290.5051,500,363.851482
1433.5708,148,364.767116
1166.1906,116,364.941261
2171.6023,253,365.361665
1116.9751,114,365.410198
1324.5883,140,365.470197
1269.984,150,366.220685
1090.6517,134,366.549741
1475.7688,151,366.733095
1555.5028,159,366.970845
1138.5127,113,367.662887
1075.557,108,367.934259
1717.6613,208,368.019723
1434.2821,149,368.278173
1643.3894,190,368.432308
1294.5312,136,368.534722
1053.3695,127,369.116119
497.84338,65,369.291485
1275.6345,153,369.383362
1454.1094,149,369.668211
1139.203,113,369.877996
1065.2316,108,370.042514
1566.1355,160,370.125885
497.27618,65,370.553114
2129.9265,251,370.686721
1418.0511,146,371.101475
1307.006,135,371.140468
1061.4286,129,371.655441
2758.7017,500,371.777231
496.40167,65,371.860348
1051.4153,106,372.16642
1164.533,116,372.211675
1259.7079,149,372.359363
1447.444,149,372.645975
496.0197,67,373.185362
1549.0637,158,373.264456
1268.2463,132,373.781826
1394.2843,143,373.963449
1062.2177,128,374.176209
1045.3458,105,374.213341
1126.4436,112,374.401436
515.95764,67,374.502599
1311.151,155,375.396992
1420.4968,146,375.527433
2133.9648,249,375.647026
513.11346,67,375.845905
1055.2893,105,376.324442
1591.0071,163,376.509157
1297.872,136,376.509157
1168.051,116,376.747285
1064.5828,130,376.811552
1389.9985,143,376.854281
515.3227,67,377.222946
2345.7507,500,378.434657
1400.5808,144,378.489906
489.35745,64,378.559303
1062.6421,107,378.560306
1329.5815,156,378.618994
1175.4424,117,379.177218
1279.3478,134,379.31161
1041.0166,128,379.457385
1397.1339,144,379.828418
489.49158,64,379.872524
1588.3925,163,379.892095
1068.8302,106,380.746332
2149.7874,250,380.811549
524.5132,68,381.267118
1429.5143,148,381.527788
1168.0375,116,381.545325
2713.6057,500,381.897156
1344.4948,162,381.914708
1282.131,135,382.042882
1046.0873,127,382.042882
1640.7249,189,382.284171
1376.0564,143,382.730726
489.9452,74,382.74877
1069.1288,107,382.890282
1572.6002,161,383.158883
1165.3252,116,383.930543
509.77722,67,384.222204
1436.0176,148,384.727552
1040.6897,127,384.852452
1281.438,134,385.020511
1066.3921,106,385.373337
1324.133,158,385.468023
510.93417,71,385.95772
1399.075,144,386.092759
2186.0723,253,386.428534
1635.1149,189,386.688044
1155.7452,115,386.815697
1586.8785,163,387.108331
514.88196,67,387.660425
1054.4758,105,387.97036
1061.6669,129,388.040613
1269.6453,131,388.262965
1400.3131,144,388.2911
505.73022,66,389.336992
1334.5322,158,389.440884
1138.4567,113,389.671429
1389.5907,142,389.692505
1074.6006,107,390.665032
