#{"t_start": 1775223357.6713285, "env_id": "None"}
r,l,t
1968.8116,209,219.649604
1621.6218,171,220.697465
1839.248,193,220.775013
1984.3354,210,220.865552
1525.6587,164,221.090837
1864.1611,199,222.125634
1795.0037,189,222.354077
1926.5745,204,222.48761
2139.7788,228,222.708606
1882.4313,199,223.108008
1963.2025,209,223.619444
1890.9062,201,223.743524
1962.0094,209,224.037935
1624.3854,172,224.329944
1523.6584,164,224.563044
1868.0916,197,224.942805
2009.8223,213,225.380107
1858.5575,199,226.512034
1829.2256,195,226.686131
1963.0444,208,227.138156
1901.9352,202,227.761422
2126.3284,227,227.912414
1633.8696,173,228.482284
1890.7031,202,228.512289
1540.547,168,228.631311
1992.3276,214,228.652319
1982.0366,212,229.128544
1866.4062,197,229.800319
2010.6382,215,230.778654
1863.4457,199,231.496948
1834.6409,194,231.545003
1949.7368,206,232.335242
1511.0792,163,232.742085
1878.4247,200,232.798087
1654.0162,175,232.903629
1870.8802,198,233.498855
2148.2224,229,233.672531
1925.771,206,233.834451
1951.3082,208,234.341506
1879.3466,199,234.8457
1993.9403,212,236.072223
1831.2468,195,236.354408
1866.4858,200,236.419643
1525.7747,166,236.737588
1642.0269,177,237.112112
1975.9545,213,237.398207
1887.0719,201,237.535697
1899.2483,204,238.216414
1919.6603,208,238.594017
2125.8706,231,238.945451
1985.579,213,239.146504
1860.8722,196,239.189502
1525.8333,164,240.311407
1956.549,206,240.513539
1811.1842,192,240.513539
1837.413,197,240.690144
1616.0404,172,240.842688
1864.0636,198,241.845111
1971.5223,212,242.016163
1885.8014,201,242.563316
1886.3174,202,242.980654
1880.6082,198,243.506594
1976.8612,211,243.742595
1520.1304,164,243.866081
2131.3818,228,243.911081
1612.8604,170,244.544084
1806.4501,190,244.656649
1857.7444,199,245.02188
1983.1473,208,245.040895
1886.0533,200,246.179339
1963.2836,207,246.504584
1890.26,200,246.916711
1865.3397,198,247.292145
1874.6643,197,247.776587
1611.1947,169,248.231599
1969.7869,210,248.329952
1826.6469,193,248.910578
2136.4783,227,248.910578
1412.0336,235,249.051683
1817.3735,192,249.29172
2017.8004,212,249.772702
1841.2537,196,250.632784
1962.1656,207,251.200562
1872.9933,199,251.468829
1879.681,199,251.842486
1614.3379,169,252.075258
1860.0188,196,252.21948
1524.0474,164,252.676268
1926.6733,205,252.873882
1835.6575,194,253.128613
1818.9502,191,253.363774
2149.3616,230,253.798882
2017.8726,213,254.154275
1872.1072,201,254.595214
1618.8116,170,255.357719
1890.2354,200,255.385729
1984.701,211,255.385729
1862.1638,196,255.686615
1531.0742,167,256.005122
1851.1709,195,256.134909
1840.0657,194,257.272682
2009.6884,215,257.433208
1800.869,190,257.483731
2096.0417,223,258.848973
2048.8416,217,259.210582
1854.4635,197,259.342107
1617.5554,171,259.558239
1518.7617,164,260.050425
1866.853,198,260.234278
2003.3569,213,260.611867
1978.8473,211,260.8575
1861.7238,198,260.991757
1839.6885,196,262.122337
1824.9744,193,262.273125
1988.5823,214,262.709735
1642.4661,175,263.887146
1524.2128,167,264.20593
1905.9199,206,264.442209
2016.9541,212,264.465733
2171.1523,234,264.653846
1907.137,204,265.294249
1966.5955,211,265.753541
1920.8502,206,265.869736
1887.3776,201,265.869736
1855.8704,197,266.650428
1844.3678,195,266.748885
2020.2228,218,267.507801
1631.2681,174,267.565333
1536.0057,167,267.662872
1901.8917,203,268.474179
2018.1093,214,268.68875
2137.3276,230,269.151203
1915.4913,205,269.169712
1871.1171,198,269.561827
1900.5795,201,269.619828
2004.7289,214,269.762731
1847.6909,195,270.264131
1839.9395,195,270.338129
1523.4996,163,270.647682
1640.5055,172,270.717192
2021.1187,217,271.504992
1909.7638,206,272.297026
2020.4867,214,272.672124
1912.4114,204,272.958183
1865.4261,197,273.210881
1856.4247,196,273.248887
2120.2048,228,273.395544
1527.0443,163,273.713351
2001.6837,214,273.759036
1813.1301,192,273.857626
1620.1586,170,273.946141
1846.5701,195,274.003657
2020.5547,216,275.527388
1918.574,204,276.083576
1872.4446,197,276.569646
1509.9413,161,276.619653
1836.1865,193,276.738192
1867.5408,196,276.827738
2112.754,230,276.878289
1597.4514,166,276.896287
1801.9736,189,277.2298
1819.8337,191,277.386554
2113.432,224,277.438554
1981.5735,210,277.504089
1932.854,206,279.146012
1526.627,163,279.479178
1842.9863,196,279.515179
1614.7693,169,279.86514
1858.8303,196,280.016676
1853.2682,195,280.172113
1840.8962,192,280.205115
1977.5562,208,280.529738
1818.7788,191,280.586283
1801.4827,189,280.70683
1966.4973,208,281.150541
2107.8274,224,281.357801
1525.8639,162,282.306192
1609.6914,169,282.975839
1955.5231,211,283.006847
1909.8823,204,283.384257
1884.7434,199,284.000557
1887.9216,200,284.259637
1907.3654,201,284.335852
1824.5787,193,284.708959
1822.273,193,284.885558
1987.4998,208,285.022008
1964.568,209,285.992857
1528.2102,163,286.534698
2139.5544,228,286.830748
1618.2172,171,287.49774
2010.2809,217,288.675177
1918.3457,205,288.727179
1899.5778,201,289.211863
1849.1349,195,289.317399
1878.7528,196,289.422409
1837.5088,194,289.738042
1798.8967,191,289.842535
1973.4636,209,290.444951
1530.205,165,290.782254
1959.5964,209,291.376257
1618.0175,171,291.859526
2112.7234,225,292.584533
1911.2876,203,293.797592
1989.2393,214,293.966305
1856.6346,198,294.05683
1851.5785,195,294.073997
1908.3549,200,294.233838
1813.0265,193,294.319367
1822.5944,193,294.388893
1525.9082,162,294.475411
2003.4146,211,295.093248
1631.542,174,295.441148
2003.9148,215,295.855888
2099.661,224,296.862286
1856.39,197,297.358458
1503.4978,160,297.377963
1828.9874,193,297.550582
1846.7876,195,297.608094
1970.4216,210,297.784358
1869.7825,195,297.784358
1841.086,193,297.841359
1823.6783,193,297.914878
1617.3171,170,298.619913
1999.8248,209,299.001597
1941.8774,205,299.714921
1549.644,165,300.518185
2121.4575,226,301.134088
1942.2976,207,301.253631
1857.5496,196,301.288185
1870.9572,199,301.288185
1854.2175,193,301.40093
1826.379,193,301.45693
1813.6903,192,301.50848
2002.7136,214,301.766589
1622.2631,171,301.783111
2027.1951,213,302.961469
1574.727,168,303.697373
2003.7502,214,303.752335
1853.7871,196,305.439632
1863.0647,197,305.468191
1831.7231,192,305.49571
1624.1086,171,305.517712
1811.4574,191,305.622504
1841.0236,194,305.622504
1941.0209,207,305.673517
2147.9585,229,306.089197
2037.5088,219,306.598911
1559.6427,165,307.647111
2000.7389,210,307.893116
1963.4435,208,308.796067
1629.214,171,309.551718
1854.2096,193,310.00679
1880.4236,197,310.043926
1817.1263,191,310.064272
1829.86,193,310.105675
1884.7999,199,310.105675
1923.8792,205,310.440377
2139.8032,228,311.316015
1545.4303,166,311.476279
2020.9023,217,311.63016
2003.7296,211,312.708006
1611.9418,169,313.305572
1984.1174,212,313.509225
1853.0902,193,314.338625
1846.147,194,314.482563
1854.6724,196,314.482563
1874.9315,198,314.509102
1876.8704,198,314.585052
1928.2174,207,315.113365
1559.5757,165,315.202713
2134.7202,228,316.454374
1993.1482,215,316.495373
1642.5857,173,317.305397
2008.7297,213,317.583053
1989.4565,212,318.558491
1839.6726,192,318.946062
1816.0483,191,319.053368
1534.6157,163,319.128729
1830.6522,192,319.169191
1867.9119,199,319.226739
1868.3943,198,319.226739
1918.953,205,320.163751
1617.9388,170,321.599887
2038.0806,220,322.036654
2132.4546,228,322.17235
2024.7378,214,322.974391
1550.5302,165,323.246124
1850.5336,194,323.709754
1821.302,191,323.750723
1995.9327,213,323.783724
1828.6189,192,323.900896
1832.8766,195,324.043381
1867.4187,197,324.092816
1945.2336,208,325.329817
1635.5519,172,325.932007
2021.081,219,327.448799
1577.6633,170,327.487046
2131.1033,228,327.766856
1998.1174,211,328.120607
1838.2611,191,328.374697
1810.4752,189,328.374697
1842.5859,194,328.60438
1856.4486,197,328.807354
1877.6617,199,328.893196
1975.2911,212,328.893196
1610.3757,170,329.724149
1923.6063,207,329.996916
1591.2157,170,331.105651
2001.787,217,332.05551
1853.3804,194,332.490475
1840.9224,194,332.490475
2120.8892,227,332.576008
2019.8757,213,332.64056
1839.9896,194,332.725111
1860.141,197,332.972462
1916.748,204,333.210783
1957.533,209,333.311663
1656.7975,174,333.400166
1907.7892,206,334.338881
1571.6545,170,334.677704
1876.3973,195,336.615601
1851.2931,196,336.643128
2022.1619,219,336.69513
1871.3512,197,336.924911
1629.7327,172,337.108543
1836.5632,195,337.183789
2017.5682,213,337.228315
2105.6501,224,337.421275
1870.5525,197,337.496273
1945.9965,208,337.884637
1561.4746,169,338.620391
1952.1122,208,339.200716
1638.9127,171,341.630458
1870.3728,194,341.703418
1856.6577,198,341.818734
1847.7539,195,342.069449
1995.1207,214,342.291893
1871.9767,197,342.359731
2030.1635,213,342.793197
1912.704,202,342.7942
1584.2354,171,343.070323
2129.2275,226,343.289365
1968.115,209,343.347294
1928.1693,205,344.384419
1681.9713,176,345.992581
1844.9854,192,346.399841
1867.1594,199,346.681231
1947.0366,206,347.047579
1865.9806,198,347.130687
2046.531,220,347.549812
1889.654,200,347.572898
1999.4209,209,347.81418
2002.145,215,348.410434
2163.4404,230,348.659308
1943.2345,206,349.129457
1563.9805,271,349.279538
1643.6234,171,349.628658
1817.1381,188,350.318937
1861.3867,199,350.777114
1874.1372,197,351.071201
1859.2646,195,351.112356
1890.0186,199,351.639702
1984.878,208,352.006954
2047.6296,218,352.006954
1989.4531,211,352.655974
1578.25,171,352.736526
1637.235,171,353.108297
2126.303,225,353.214336
1954.8386,208,353.343783
1851.1039,192,354.315022
1876.2809,203,355.022024
1846.1366,194,355.162231
1925.4589,204,355.325778
1910.148,202,355.809783
1598.604,172,356.326805
1990.96,209,356.349311
2067.8484,222,356.631068
1651.7877,174,356.76598
1986.7325,211,357.086617
1949.5067,208,357.76451
2134.5679,227,358.045617
1883.6517,197,358.528351
1883.7344,205,359.388325
1883.5975,199,359.407321
1927.8561,205,359.660901
1878.5814,198,359.993845
1655.1284,176,360.408254
2037.581,215,360.797319
2060.9333,223,361.216297
1993.0479,213,361.422334
1981.305,212,361.947141
1893.6254,200,362.387439
1614.2667,310,362.565207
2178.3557,233,362.586205
1850.1534,197,363.100424
1888.9357,206,363.248291
1915.6984,205,363.495538
1633.605,174,363.638576
1857.3517,197,363.654576
2017.8079,213,364.723061
2038.4767,220,365.256061
1963.4335,210,365.278761
1551.991,166,365.72945
1926.9075,206,365.899357
1985.4094,218,366.724607
2088.6118,222,367.119886
1837.7919,196,367.189528
1866.224,199,367.465087
1660.5261,177,367.465087
1902.3175,204,367.878653
1866.486,198,367.940168
2051.4075,216,369.630186
1586.1149,169,369.630186
1982.9478,213,370.258498
2067.4944,225,370.541312
1972.5106,211,370.822092
1631.2938,173,371.445549
1324.0751,207,371.569575
1810.859,191,371.624579
1854.351,197,372.017545
2118.3115,225,372.328828
1829.7311,193,372.432865
1915.3435,204,372.639503
1601.8347,171,373.686833
2078.9116,220,374.832172
1965.9849,211,375.18156
1625.827,171,375.371852
1936.4807,208,375.586278
2045.8766,222,375.623283
1838.8728,195,375.964409
1967.6527,209,376.207032
1827.932,193,376.262892
1871.1587,199,376.718421
1901.4844,201,376.907495
2098.341,222,377.083532
1598.0256,173,377.248234
1614.6173,170,378.576674
2011.5071,212,378.86239
